player,college,Team,Year
Esteban Batista,,ATL,2006
Josh Childress,Stanford,ATL,2006
Tony Delk,Kentucky,ATL,2006
John Edwards,Kent State University,ATL,2006
Anthony Grundy,NC State,ATL,2006
Al Harrington,,ATL,2006
Royal Ivey,Texas,ATL,2006
Joe Johnson,Arkansas,ATL,2006
Tyronn Lue,Nebraska,ATL,2006
Zaza Pachulia,,ATL,2006
Donta Smith,Southeastern Illinois College,ATL,2006
Josh Smith,,ATL,2006
Salim Stoudamire,Arizona,ATL,2006
John Thomas,Minnesota,ATL,2006
Marvin Williams,UNC,ATL,2006
Esteban Batista,,ATL,2007
Cedric Bozeman,UCLA,ATL,2007
Josh Childress,Stanford,ATL,2007
Speedy Claxton,Hofstra,ATL,2007
Matt Freije,Vanderbilt,ATL,2007
Royal Ivey,Texas,ATL,2007
Anthony Johnson,College of Charleston,ATL,2007
Joe Johnson,Arkansas,ATL,2007
Solomon Jones,South Florida,ATL,2007
Tyronn Lue,Nebraska,ATL,2007
Stanislav Medvedenko,,ATL,2007
Zaza Pachulia,,ATL,2007
Jeremy Richardson,Delta State University,ATL,2007
Josh Smith,,ATL,2007
Salim Stoudamire,Arizona,ATL,2007
Dijon Thompson,UCLA,ATL,2007
Marvin Williams,UNC,ATL,2007
Shelden Williams,Duke,ATL,2007
Lorenzen Wright,Memphis,ATL,2007
Mike Bibby,Arizona,ATL,2008
Josh Childress,Stanford,ATL,2008
Al Horford,Florida,ATL,2008
Anthony Johnson,College of Charleston,ATL,2008
Joe Johnson,Arkansas,ATL,2008
Solomon Jones,South Florida,ATL,2008
Acie Law,Texas A&M,ATL,2008
Tyronn Lue,Nebraska,ATL,2008
Zaza Pachulia,,ATL,2008
Jeremy Richardson,Delta State University,ATL,2008
Josh Smith,,ATL,2008
Salim Stoudamire,Arizona,ATL,2008
Mario West,Georgia Tech,ATL,2008
Marvin Williams,UNC,ATL,2008
Shelden Williams,Duke,ATL,2008
Lorenzen Wright,Memphis,ATL,2008
Mike Bibby,Arizona,ATL,2009
Speedy Claxton,Hofstra,ATL,2009
Maurice Evans,"Wichita State, Texas",ATL,2009
Thomas Gardner,Missouri,ATL,2009
Al Horford,Florida,ATL,2009
Othello Hunter,Ohio State,ATL,2009
Joe Johnson,Arkansas,ATL,2009
Solomon Jones,South Florida,ATL,2009
Acie Law,Texas A&M,ATL,2009
Randolph Morris,Kentucky,ATL,2009
Ronald Murray,"Meridian Community College, Shaw",ATL,2009
Zaza Pachulia,,ATL,2009
Josh Smith,,ATL,2009
Mario West,Georgia Tech,ATL,2009
Marvin Williams,UNC,ATL,2009
Mike Bibby,Arizona,ATL,2010
Jason Collins,Stanford,ATL,2010
Jamal Crawford,Michigan,ATL,2010
Maurice Evans,"Wichita State, Texas",ATL,2010
Al Horford,Florida,ATL,2010
Othello Hunter,Ohio State,ATL,2010
Joe Johnson,Arkansas,ATL,2010
Randolph Morris,Kentucky,ATL,2010
