Draft_Year,Pick,Team,Player,College,Years,G,MP_Total,PTS_Total,TRB_Total,AST_Total,FGpct,TPpct,FTpct,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,Player_URL,Img_URL,HS
2006,2,CHI,LaMarcus Aldridge,Texas,15,1029,35192,19951,8478,2034,.491,.321,.811,34.2,19.4,8.2,2.0,112.6,.154,1.7,32.6,https://www.basketball-reference.com/players/a/aldrila01.html,https://www.basketball-reference.com/req/202103225/images/players/aldrila01.jpg,"Seagoville in Seagoville, Texas|"
2006,3,CHA,Adam Morrison,Gonzaga,3,161,3278,1200,342,222,.373,.331,.710,20.4,7.5,2.1,1.4,-1.4,-.021,-5.0,-2.4,https://www.basketball-reference.com/players/m/morriad01.html,https://www.basketball-reference.com/req/202103225/images/players/morriad01.jpg,"Mead in Spokane, Washington|"
2006,4,POR,Tyrus Thomas,LSU,8,402,7932,3093,1938,347,.438,.235,.732,19.7,7.7,4.8,0.9,13.0,.078,-1.2,1.7,https://www.basketball-reference.com/players/t/thomaty01.html,https://www.basketball-reference.com/req/202103225/images/players/thomaty01.jpg,"McKinley in Baton Rouge, Louisiana|"
2006,5,ATL,Shelden Williams,Duke,6,361,5586,1618,1562,163,.462,.222,.740,15.5,4.5,4.3,0.5,9.9,.085,-3.0,-1.5,https://www.basketball-reference.com/players/w/willish02.html,https://www.basketball-reference.com/req/202103225/images/players/willish02.jpg,"Midwest City in Midwest City, Oklahoma|"
2006,6,MIN,Brandon Roy,Washington,6,326,11561,6136,1388,1517,.459,.348,.800,35.5,18.8,4.3,4.7,37.4,.155,3.6,16.3,https://www.basketball-reference.com/players/r/roybr01.html,https://www.basketball-reference.com/req/202103225/images/players/roybr01.jpg,"Garfield in Seattle, Washington|"
2006,7,BOS,Randy Foye,Villanova,11,752,19279,7729,1686,2112,.401,.366,.852,25.6,10.3,2.2,2.8,23.5,.058,-1.2,3.8,https://www.basketball-reference.com/players/f/foyera01.html,https://www.basketball-reference.com/req/202103225/images/players/foyera01.jpg,"East Side in Newark, New Jersey|"
2006,8,HOU,Rudy Gay,UConn,15,1005,32626,16854,5859,2163,.454,.350,.799,32.5,16.8,5.8,2.2,58.5,.086,0.7,22.4,https://www.basketball-reference.com/players/g/gayru01.html,https://www.basketball-reference.com/req/202103225/images/players/gayru01.jpg,"Archbishop Spalding in Severn, Maryland|"
2006,9,GSW,Patrick O'Bryant,Bradley,4,90,524,186,127,25,.494,.000,.583,5.8,2.1,1.4,0.3,0.5,.046,-4.6,-0.3,https://www.basketball-reference.com/players/o/obryapa01.html,https://www.basketball-reference.com/req/202103225/images/players/obryapa01.jpg,"Blaine in Blaine, Minnesota|"
2006,11,ORL,J.J. Redick,Duke,15,938,23950,12022,1903,1861,.447,.415,.892,25.5,12.8,2.0,2.0,63.8,.128,0.7,16.1,https://www.basketball-reference.com/players/r/redicjj01.html,https://www.basketball-reference.com/req/202103225/images/players/redicjj01.jpg,"Cave Spring in Roanoke, Virginia|"
2006,12,NOK,Hilton Armstrong,UConn,6,292,3378,880,766,102,.501,.286,.582,11.6,3.0,2.6,0.3,3.9,.055,-4.1,-1.8,https://www.basketball-reference.com/players/a/armsthi01.html,https://www.basketball-reference.com/req/202103225/images/players/armsthi01.jpg,"Peekskill in Peekskill, New York|"
